Success Rate,Ecological Navigation Score,Navigation Score,Infraction Count (/m),Energy Consumption (J/m),FPS (/s),Route Completion (%),Avg. Route Deviation (m),Distance covered (km),Time taken (s),Number of steps taken by local model,Number of steps taken by global model
1,76.4686576960943,100.0,0.0,0.6876303603090943,82.7255998051242,100.0,0.18305784628457936,0.05200880247124823,55.1903076171875,466,88
1,74.28765264586139,100.0,0.0,0.7228018765323213,76.83539476477641,100.0,0.2976161933970914,0.05200880247124823,53.941306352615356,438,98
1,78.26932425862886,100.0,0.0,0.6254790934776591,96.77814637198978,100.0,0.19512594798621005,0.05200880247124823,57.22146272659302,483,78
1,75.84128578603693,100.0,0.0,0.6835959996766323,84.82664074294739,100.0,0.23092203145725476,0.05200880247124823,54.381356716156006,453,90
1,77.29890071540726,100.0,0.0,0.644272540917794,95.0351028815005,100.0,0.1992538428468026,0.05200880247124823,51.804152488708496,443,78
1,78.80967952910378,100.0,0.0,0.620077039594288,95.68497384340857,100.0,0.2735356727548943,0.05200880247124823,55.144001483917236,482,74
1,79.52421410365314,100.0,0.0,0.5847253007099487,108.48511524313099,100.0,0.2359919822241237,0.05200880247124823,53.85811519622803,468,67
1,81.80162278522917,100.0,0.0,0.5224024755185748,111.65706717565219,100.0,0.17097046409911745,0.05200880247124823,54.09624695777893,494,55
1,80.16528925619816,100.0,0.0,0.5706223319455864,100.14064736220206,100.0,0.30687466512727996,0.05200880247124823,54.34144425392151,485,65
1,80.75258075258057,100.0,0.0,0.556987005737369,104.42547979987961,100.0,0.16804999959551561,0.05200880247124823,54.06963562965393,485,61
1,80.88114417228323,100.0,0.0,0.5659048420273171,101.1697156596356,100.0,0.14432273407033036,0.05200880247124823,55.527034521102905,492,61
1,79.71014492753602,100.0,0.0,0.5675305513816801,96.70071697310132,100.0,0.20784998179361028,0.05200880247124823,55.282750606536865,484,68
1,81.96454708082595,100.0,0.0,0.5314828371170486,118.29814080596249,100.0,0.11950165798478848,0.05200880247124823,55.248762130737305,504,55
